Component,Failure Mode,Estimated Median Failure Rate,Source
Transformers,"Open CKT, Short","1*10-6 /hr, 1*10-6 /hr","Fermilab ES&H Manual, 4240TA-14"
Transformers,"Open, Short","1*10-6 /Demand, 1*10-6 /Demand","SLAC 2009, Page 6 of 9"
Transformers,"Open Contact, Short Contact","1*10-6 /hr, 1*10-6 /hr","ESS-0038692, 15(17)"
